issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,website,category
DigiCert Global CA G2,16-Feb-24,15-Feb-25,54:17:EF:77:AC:BE:41:48:61:5F:32:EC:37:51:10:71:9F:51:9F:E0:E0:22:3D:C3:5D:CA:A2:39:1B:CD:41:B5,1731,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",anz.com,Banking
Entrust Certification Authority - L1M,08-Apr-24,05-Apr-25,45:66:E6:D6:B5:CE:33:EB:44:97:BE:B1:A9:92:FF:F4:BB:42:23:18:2B:DB:FC:C0:FF:BD:37:46:E3:21:E6:4B,1841,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",westpac.com.au,Banking
Entrust Certification Authority - L1M,12-May-24,06-Apr-25,9E:10:B8:45:86:14:F7:B5:A3:0F:A6:5A:3A:20:4F:B2:55:EE:12:40:DF:A4:2C:44:AB:70:08:01:8A:45:9E:D2,1806,2048,TRUE,"('ECDHE-RSA-AES256-GCM-SHA384', 'TLSv1.2', 256)",nab.com.au,Banking
Entrust Certification Authority - L1M,03-Jun-24,03-Jun-25,15:29:20:36:A7:97:17:33:54:2B:18:70:3E:73:B1:FE:EB:F0:A5:8D:75:13:40:5B:77:DE:5A:DD:2F:00:20:16,1824,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",commbank.com.au,Banking
DigiCert EV RSA CA G2,16-Nov-23,16-Dec-24,C8:7A:BC:39:13:4B:96:34:B5:81:91:BA:1C:C0:4B:DF:F9:41:F7:09:E1:5D:AF:C1:28:88:C5:63:F4:58:31:41,2918,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",hsbc.com.hk,Banking
DigiCert EV RSA CA G2,08-Jan-24,07-Feb-25,20:1E:B5:6F:8D:1B:65:E5:88:F6:4D:85:C8:D8:CC:A0:F1:4E:77:5D:2C:76:86:A9:61:04:11:B4:E4:6D:A0:A3,2066,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",hangseng.com,Banking
Entrust Certification Authority - L1K,05-Dec-23,05-Jan-25,1C:76:32:83:03:58:E4:4C:65:88:9C:B4:A6:91:AC:60:84:34:D5:33:55:81:01:8E:1A:49:72:CB:59:22:FF:8D,1689,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",icicibank.com,Banking
GeoTrust EV RSA CA G2,05-Mar-24,05-Apr-25,E7:81:3C:D8:FA:D3:65:98:6F:56:E9:07:02:50:BB:BB:48:1B:27:64:A2:7D:66:8C:E1:9A:92:80:E6:A7:62:17,1770,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",hdfcbank.com,Banking
Entrust Certification Authority - L1K,18-Jul-24,18-Jul-25,6B:52:6A:D8:AE:9C:AD:14:1B:7C:A6:22:70:39:D9:FF:00:C9:CA:53:8D:D5:39:1D:9A:B1:75:E5:BA:C6:4E:EE,1682,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",sbi.co.in,Banking
GeoTrust RSA CA 2018,22-May-24,02-Apr-25,87:3D:D7:2A:59:4E:09:F4:AA:DA:0E:FA:3F:D8:3D:2F:5A:E5:84:3A:B1:67:23:C1:8B:F1:1B:CD:34:09:63:A2,2293,2048,TRUE,"('ECDHE-RSA-AES256-GCM-SHA384', 'TLSv1.2', 256)",axisbank.com,Banking
Entrust Certification Authority - L1M,24-Mar-24,13-Nov-24,D8:F2:B3:66:1C:B9:7E:67:52:CC:14:88:7C:2D:CB:9E:79:E0:E2:3B:D7:8B:99:87:83:68:09:A2:8C:3D:2B:24,1812,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",kotak.com,Banking
Entrust Certification Authority - L1M,26-Apr-24,26-Apr-25,F1:4A:30:47:E5:A5:AF:58:EF:0D:39:DC:9C:FA:56:D5:EE:21:E3:44:9C:A7:6A:A4:93:4F:27:81:E0:A2:AC:92,1810,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",td.com,Banking
Entrust Certification Authority - L1K,13-Aug-24,01-Sep-25,89:89:FC:37:F3:76:C1:69:1B:F5:8E:B7:14:E4:AE:42:39:74:26:78:61:8B:48:92:AE:C1:C6:CB:0E:22:DD:6C,3223,2048,TRUE,"('TLS_CHACHA20_POLY1305_SHA256', 'TLSv1.3', 256)",scotiabank.com,Banking
