issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,error,website,category
WR2,30-Jul-24,22-Oct-24,22:1D:02:6C:BF:DD:4A:D4:72:18:13:7E:15:9C:D9:F9:D8:70:14:BE:14:0C:8A:0C:4B:F9:D6:F3:2A:56:90:6A,1147,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,gstatic.com,Content Servers
DigiCert SHA2 High Assurance Server CA,05-Jun-24,03-Sep-24,99:ED:71:32:3F:7A:C9:85:E4:BA:C4:ED:F3:0F:AC:A0:0D:2C:63:6C:A6:F2:68:5D:C2:A6:C5:23:50:BA:14:50,1693,256,TRUE,"('TLS_CHACHA20_POLY1305_SHA256', 'TLSv1.3', 256)",,facebook.com,Social Networks
Cloudflare Inc ECC CA-3,30-Jan-24,31-Dec-24,2B:FF:1B:53:07:08:74:1E:2C:67:C6:0B:05:E2:92:24:A5:20:FC:F1:B3:E0:0D:B2:B0:5C:86:6C:D8:58:BD:39,1390,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,cloudflare.com,Technology
WR2,30-Jul-24,22-Oct-24,06:5E:3B:66:39:0A:5D:3C:7C:E5:1F:27:34:24:42:60:64:53:B3:D9:8E:4D:4E:97:F5:B7:08:B5:9D:19:0A:0A,3600,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,youtube.com,Video Streaming
Apple Public Server ECC CA 12 - G1,19-Aug-24,17-Nov-24,1E:55:DC:12:F3:BA:24:33:75:66:52:D6:94:DA:D9:2A:9D:E6:29:D6:48:F5:FA:79:CE:DD:50:94:34:B4:72:65,1375,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,icloud.com,File Sharing;Content Servers
DigiCert SHA2 High Assurance Server CA,05-Jun-24,03-Sep-24,38:BD:A7:C4:10:03:0B:D7:2D:E4:DC:DE:A6:42:07:F1:E9:53:8F:3F:72:65:8B:F0:C6:C3:51:0F:5A:75:3B:F0,1625,256,TRUE,"('TLS_CHACHA20_POLY1305_SHA256', 'TLSv1.3', 256)",,whatsapp.net,Instant Messengers;Internet Phone & VOIP
DigiCert SHA2 High Assurance Server CA,05-Jun-24,03-Sep-24,14:79:BF:3F:94:92:8E:5D:55:E7:60:E2:5C:90:66:8B:26:DD:49:2E:8A:27:C7:04:13:29:0C:CE:33:22:48:7E,1642,256,TRUE,"('TLS_CHACHA20_POLY1305_SHA256', 'TLSv1.3', 256)",,instagram.com,Social Networks
WR2,30-Jul-24,22-Oct-24,40:39:74:9D:3A:D6:97:AB:3D:33:41:C5:07:4B:A9:64:96:45:F1:67:90:C0:84:A4:8B:43:81:B9:89:51:4D:4D,6211,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,googleusercontent.com,Content Servers
RapidSSL TLS ECC CA G1,19-Aug-24,19-Aug-25,C8:B2:44:BA:87:AB:1D:F7:9A:0E:DA:D9:DE:2E:6F:C9:04:7B:F5:67:75:27:07:30:71:F5:BC:07:82:D2:26:6B,1182,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,tiktokv.com,Social Networks;Video Streaming
WR2,30-Jul-24,22-Oct-24,20:D1:35:7D:CC:9D:83:45:B9:59:66:CF:1F:2D:97:A0:0D:86:FF:02:32:0B:3B:C0:98:8C:F3:7A:81:51:69:DC,1363,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,googlesyndication.com,Search Engines;Advertisements
DigiCert Global G2 TLS RSA SHA256 2020 CA1,30-Jul-24,21-Jan-25,EB:72:35:01:9F:30:12:B7:A8:14:7D:56:F7:92:96:30:48:BE:99:7B:4F:44:FF:E9:37:70:73:EA:DE:8A:86:A5,1703,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,cloudflare-dns.com,Content Servers
DigiCert Secure Site ECC CA-1,25-Oct-23,24-Oct-24,D4:BB:61:7D:89:B1:19:6D:03:4E:AE:60:65:97:41:26:BC:BF:AC:17:99:80:6A:BF:09:5F:A9:DE:30:BF:30:99,1630,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,netflix.com,Movies;Video Streaming
WR2,30-Jul-24,22-Oct-24,C4:9F:EE:1B:42:38:2B:D3:7E:02:0A:5E:32:D7:43:31:97:E4:DC:F2:C9:26:E7:43:89:55:16:C5:0D:F7:EB:19,1154,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,googleadservices.com,Advertisements
WR2,30-Jul-24,22-Oct-24,B6:2E:E8:B5:47:5F:DD:E6:DB:AF:F9:EC:61:86:81:7B:CB:45:47:6C:93:6E:1C:B6:54:28:4A:94:EE:5E:66:A8,1729,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,google-analytics.com,Business;Technology
DigiCert SHA2 High Assurance Server CA,23-Jul-24,15-Jan-25,95:5C:11:D3:61:0F:3F:4E:1C:AF:70:5C:29:94:F3:21:B4:26:0D:5F:BC:B3:CE:DA:0B:2A:49:D9:E5:5C:9C:01,1779,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,yahoo.com,News & Media
WR2,30-Jul-24,22-Oct-24,9A:DF:B5:E4:0E:54:C1:38:5C:71:5A:8F:8C:4F:2C:B4:E5:30:00:7A:93:B3:75:60:74:B8:9C:F0:20:B0:29:46,1258,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,dns.google,Information Technology
WR2,30-Jul-24,22-Oct-24,B6:2E:E8:B5:47:5F:DD:E6:DB:AF:F9:EC:61:86:81:7B:CB:45:47:6C:93:6E:1C:B6:54:28:4A:94:EE:5E:66:A8,1729,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,app-analytics-services.com,Content Servers
WR2,30-Jul-24,22-Oct-24,B6:2E:E8:B5:47:5F:DD:E6:DB:AF:F9:EC:61:86:81:7B:CB:45:47:6C:93:6E:1C:B6:54:28:4A:94:EE:5E:66:A8,1729,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,app-measurement.com,APIs
Cloudflare Inc ECC CA-3,14-May-24,31-Dec-24,17:DF:DF:82:A6:4D:81:EB:01:5C:3C:B1:42:EC:86:10:BF:6B:1C:AF:A0:EA:7E:B6:AD:DE:0F:00:25:C8:11:D0,1290,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,applovin.com,Business;Technology
